RATE,Role,Seniority,Location,Years,Company,Gender,Union
45000.00,2D Animator,Senior animator,"Atlanta, GA",5,"Bento Box, Awesome Inc (hop between)",Female,Not yet.
"66,000 USD",2D Animator,Junior Animator,Chicago,5,Zynga,Female,Nope
60 USD per sec,2d animator,junior,remote,1,,Female,no
900 CAD/Week,2D Animator,Junior,"Vancouver, Canada",0,Copernicus Studios,Female,
"$1400 CAD biweekly, $34 CAD/sec, $21.25 CAD hourly",2D Animator,Junior-Below Intermediate,Canada,9 months,,Female,Uhhh?
$1125 weekly(CAD),2d Animator,Not junior,Vancouver,3,Titmouse,Female,CAG IATSE Local 938
40000 CAD,2D animator,Mid,Montréal,2,,Female,No
~40k euro a year,2d animator,Junior,Netherlands,2,,Female,
€39'000,2D Animator,Junior to Mid,Ireland,2,,Male,No
14.000.000 IDR/980 USD per month (after tax),2D Animator,Director,"Jakarta, Indonesia",5,,Female,no
35K EUR (before tax),2d animator,Mid,Luxembourg,9,,Female,
ZAR 204 000 (13 484 USD),2D Animator,Junior,South Africa,2,,Female,No
"€ 34,800",2D Animator,Lead,Ireland,5,Treehouse Republic,Male,No
15000rs (200$),2d animator,junior,india,0,,Male,
€710 a week,2D Animator,Senior,Ireland,6,,Female,no
500.000 chilean pesos (615 US dollars roughly) ,2D animator,Junior,Chile,4 months ,,Male,No
36000 EUR yearly,2D Animator,Senior,Ireland,5+,,Male,
35000.00,2D Animator,Entry-Level,"Connecticut, USA",Less than 1 year,,Male,No
£300/d,2d animator,Mid,Brighton,4,Freelance,Male,No
33.600/year,2D Animator,Mid,Germany,6,,Female,
"67,600 CAD/year",2d Animator,Senior,Ottawa,8,,Female,no
"36,400 GBP",2D Animator,Mid/Senior,Uk,8,,Male,No
881 USD per month,2D Animator,Senior,Chile,7,mighty (Mexico),Female,No
97 euro/brut per day ,2D Animator,Junior,Bruxelles,2,Redfrog,Female,no
"85,600 CAD",2D animator,Senior,Montreal,15,,Female,no
82000/year,2D Animator,Senior,Toronto,12,,Male,No
"3900 PLN (netto) a month, 7h/5 days a week",2d animator,Doesn't apply - we're all equals lol,Poland,4,Yellow Tapir Films,Female,
"2,500 euros",2D Animator,Junior ,Annecy France,1,,Female,
"€30,100 per year",2D animator,Mid level,Ireland,3,,Female,Not yet
"$57,200 CAD annually/$1100 CAD weekly",2D Animator,Intermediate,"ON, Canada",6,,Non Binary,No
"€600 per week so €31,200 per year",2D animator,Mid,Ireland,4 1/2 years,,Male,No
€36k,2D Animator,Junior,Ireland,5,Kavaleer Animation,Male,No
$800/Weekly US dollars,2D Animator,Junior,"Atlanta, GA",2,Bento Box Entertainment,Other,No
€32000 / ~£26995,2D Animator,Junior,Dublin,3,Boulder Media,Female,No
"£36,400",2D Animator,Mid,London,44656,,Female,No
$1150CAD a week,2D Animator,Mid-Level,"Vancouver, BC",5 years,,Male,"Canadian Animation Guild, IASTE Local 938"
£150 per day freelance,2D animator,Junior/mid,London/remote UK ,2,,Female,No
$ 25-35 USD Hourly,2D Animator,Senior,Los Ángeles - California,15 years,Freelance,Female,no
"$62,400/year (CAD)",2D Animator,Senior ,"Ottawa, Ontario",5 years,,Non Binary,No
25k_30k/annual ,2d animator,Junior,Miami,8,,Female,No
$1300/week  USD,2D Animator,Mid,Vancouver,4,,Female,No
31.2K pounds/year,2D Animator,Mid,Bristol UK,3,,Female,
$30CAD an hour ,2D Animator,Senior,"Toronto, ON",9,Atomic,Non Binary,No
950/week CAD,2D animator,uncertain,canada,2,,Non Binary,no :(
1500AUD,2D Animator,Senior,Melbourne,6,,Female,No 
$52k a year,2D animator,Mid,Remote,3,,Female,No 
5.7 USD /sec,2D Animator,Junior,Chile,1,,,No
"£28,000",2d animator,Mid level,London,6,Scriberia,Female,No
"£28,000",2d animator,Mid level,London,6,Scriberia,Female,No
"£89,840",2D Animator,Mid Weight,United Kingdom,13,Freelance,Male,Nope
30k euro/year after taxes,2D animator,Senior,Ireland,9,,Female,No
100  USD /day,2D animator,Junior/Mid,Brazil (remote work),3,,Female,
$10K/Year (Before tax),2D Animator,Mid-Senior,Indonesia,5 Years,Freelance + Rather not to say :) You know SEA sallary are low especialy indonesian animator.,Male,Nope
$72000 cad ,2D Animator,senior,Canada,16,,Male,no
30 €,2D animator,Junior,France,1,,Female,No
CAD $1050 / Week,2D Animator,Junior,Toronto - Canada,1 Year (or my life),,Female,Nope
72800 CAD,2D Animator,Senior,Toronto,10,Jam Filled,Male,Nope
55200.00,2D animator,Intermediate,Ottawa ON,5,MercuryFilmworks,Female,no
€750 per week,2d Animator,Senior,Dublin Ireland,9,,Male,
$260 AUD per day,2D Animator,Junior/Mid,"Melbourne, Victoria",3,Princess Bento ,Female,No
"$70,000/year",2D Animator,Intermediate ,New York City,4,,Male,No
$80 000 CAD,2D animator,lead,Toronto,10,,Female,No
"98,800 yearly",2D animator,Assistant Director,Vancouver,9,,Non Binary,no
18 cad/hour,2D animator,Junior,Montreal,1,,Female,Nope
€170/day,2d animator,Junior,Paris,1st job,Studio La Cachette,Female,No
250 GBP,2D Animator,Senior,UK,5,,Female,No
49400 CAD,2D Animator,intermediate,Ottawa,5,,Male,No
€3000/month,2D animator,Senior,Ireland,5,,Male,no
$400/day,2D animator,junior,los angeles,3,self-employed ,Female,no
"$62,400 AUD annually",2D animator,Middle,"Australia, Queensland",1,,Non Binary,No
35000 euro/year,2d Animator,Mid level ,remote but work for Ireland,5,,Male,Nope
47000.00,2D animator,Mid,Limerick,7,e-learning pharma,Female,No
"IDR 5,000,000 / 348,37 USD per Month",2d Animator,Mid,Indonesia,5,,Male,Nope
"£24,000 per annum ",2D Animator ,Junior,London,1,BlueZoo,Female,
"85,000 CAD",2d animator ,senior,Montreal,25,,Male,No
€33600 (before tax),2D animator ,Mid level ,Ireland ,4+,,Female,No
"€28,600 /year",2d animator ,Junior ,Ireland ,1,,Female,No
$25/hr,2d animator ,No title ,Ottawa on canada,11,,Female,Hell no
800$/week CAD,2D animator ,juniour,Kelowna,0,Yeti Farm,Female,no
4k a month CAD ,2d animator ,junior ,toronto ,3 yrs of college. first job ,,Female,no 
$800 a week,2d animator ,Junior ,Atlanta,1,Bento Box Entertainment ,Female,No
Nothing ,2d animator ,Junior,México ,None,,Female,No
$450 NZD per day,2D animator ,Senior ,Auckland ,7+,Freelance ,Male,No
25K euro a year,2D Animator ,Mid,Ireland,6,,Male,No
£120 Daily rate ,2D Animator ,Junior,Scotland ,less than 1 year ,WildChild Animation studio,Female,
"£28,000 annually",2D Animator ,Mid,UK,4,,Female,No
2600€ per month,2D Animator ,Junior,Ireland,3,Cartoon Saloon,Female,
2000CAD per month,2D animator ,Mid,Italy,3,Yowza! Animation,Female,
32.00 €,2D Animator ,Senior,Spain,6,Spain,Female,No
1800€ per month,2D Animator ,Mid,Italy,2,Doghead Animation,Female,
600 / day,2D animator (Ads/Commercial),Mid,USA,4,Freelance (Ads/Commercial),Male,No
1800€/ month,2D animator (cut out),Junior,Belgium,2,,Female,
"2800,00€",2D Animator (cut out),Senior,Spain,8,Lighthouse,Female,No
124€/day before taxes,2D animator (cut out),Junior,Annecy France,"2,5",CARIBARA ,Female,No
21$(CAN)/h,2D Animator (Cut-out),Junior,Montreal,0,,Female,No
200 EURO daily,2D Animator (flash),Mid,London (remote),3,Sun Creature,Female,No
70 CAD / 1 sec of animation,2D animator (Flash) ,Junior ,Vancouver BC,2,Titmouse,Female,No
1350/week CAD,2D Animator (Harmony),Lead,Vancouver Canada,9,,Female,no
1300 CAD/ Week,2D Animator (Harmony),Mid,Brazil,5 Years,Global Mechanic Media,Female,No
$1350 CAD/week,2D Animator (Harmony),Senior,Vancouver,10,,Male,No
1800 euros/month ,2d animator (paperless/cutout),lead,italy,2,,Male,
2600 € (gross) ,2D Animator (Puppet on Animate),Junior,Paris,2,MILLIMAGES,Female,
5600 USD per month,2D animator (revisionist),mid,Peru,6 years,Titmouse,Male,no
"£26,000",2D Animator (Toon Boom),Mid,United Kingdom,3,,Female,No
"38,400 usd/ year",2d animator (toonboom ),Mid,Los angeles,2,,Female,No
25 EUR / Hour,2D Animator / Cleanup Artist / Background Artist,Somwhere between Junior and Mid Senior,"Tallinn, Estonia",5,,Male,No
3250 euros,2D Animator and Lead Rigger on Harmony,"not specified on contract, but I believe I am senior ",Finland,6+ years,,Female,Teme
$32/ hour USD ,2D Animator Freelance,Junior?,Remote,2,,Female,Nope
"500-1200 USD, 10 jutaan",2D Animator freelancer,senior,indonesia,7,,Male,no
160€ per day ,2D animator on Animate,Middle,Paris,2,,Female,No
"$1,000 per week, CAD",2D Animator on TV Series,Mid level,"Vancouver, BC",4 years,Bardel Entertainment,Female,No
"1500 in brazilian reais, its around 280 dolars","2D animator, full time",Junior,brazil,2 years and 3 months in this studio ,Rather not tell,Female,No
Usually 100/150 € per day,"2d Animator, Illustrator",Senior,Italy,8 years,"many, as a freelancer",Female,No
"$70,000 AUD NET","2D Animator, Illustrator, Motion Designer",Middish,Melbourne. Australia,3,Self Employed (Direct to Client),Female,No
36000 Pounds a year,"2d Animator, ocasional director",mid,London,8,,Male,no
"18,000$MX (mexican pesos)","2D animator, storyboard artist",semi-senior,Mexico,3 years,,Female,no
£550 (GBP) a week,2D animator/motion graphics,Junior,London,2,,Female,No
2300 € net month,2D animator/supervisor/assistant director,senior,paris,22,,Male,nope
Not enough,2D Animatori Storyboard Artist,Mid,Italy,2,,Female,
"£32,500",2D Art,Mid,UK (not London),7,,Female,No
9000pln gross,2D art lead,Senior,Poland,4,,Female,
23$ CAD per hour ,2D Artist,I think I should be considered a Senior by now??,Montreal,8,,Male,No
$60000/yr,2D Artist,Junior,Los Angeles,4 mos,,Female,
$1000 AUD per week,2D Artist,Junior,"Sydney, Australia",0,Small studio in Sydney,Female,
1500 euros/month,2d Artist,Junior,Eastern Europe,1,,Female,No
330 000 HUF = ~1040 USD,2D artist,Junior,"Budapest, Hungary",1,ZEN studios,Female,
3195.00,2D artist,Junior,India,Fresher,,Male,No
"€ 38,000",2D Artist,Mid,Ireland,8,,Female,No
330 000 HUF=~1040 USD/month ,2D artist,Junior,Budapest/Hungary,1,ZEN Studios,Female,
$60000 CAD,2D Artist,Junior,Canada,1 year,Jam City,Male,No
€30/h,2D Artist,-,Romania,1year (as freelancer) ,Freelancer,Female,
8000 z? GROSS,2D Artist,Mid,"Gda?sk, Poland",4,],Male,no
8$hr / 900$ month or project animation AND clean up.,2D artist / animator ,Mid,"Dallas, TX",3,Futaku Studios LLC,,No
$35.13/hr,2D Artist II,II out of I - Senior ,"Los Angeles, CA ",4.5 at this job,,Female,No
£34k/year,2D assistant animator,Mid level,"London, UK",6,Freelancer,Female,Nope
$2200 per week,2d assistant director,Junior,Vancouver,6,Wildbrain,Female,No
$1300 AUD weekly,2D Background Art,Mid,Australia,3,Flying Bark,Female,
1100 AUD per wk,2D Background Artist,Mid,"Sydney, Australia",2,Flying Bark Productions,Non Binary,No
$1450 per week/ $75400,2D Background Artist,Mid,"Sydney, Australia",2,Princess Bento,Female,
$1150 AUD per week,2D Background Artist,Junior-Mid,Australia,2,Flying Bark,Female,
$1200 AUD,2D background artist,junior - mid,Australia,1,studio which outsourced to Netflix,Female,
€2800 per month,2D background artist,Senior,Ireland,4 years,,Female,No
"32,000 eur",2D Background Artist,Entry,Dublin,5,Boulder Media,Female,No
$1000 CAD per week,2D Background Layout ,Entry,Vancouver,0,Atomic Cartoons,Female,No
$1650 CAD/week,2D Background Lead,Lead,Toronto,3,,Female,
"£30,600",2D Background Painter,MID,UK,5,,Male,No
$2062 USD/week,2D Background Painter,Mid,"Los Angeles, CA",3,ShadowMachine,Female,TAG 839
$1300 CAD,2D BG Artist,Mid,Vancouver,4,,Female,No
$1300 CAD per week,2D BG Artist,mid,Vancouver,4,,Female,No
1200CAD/weekly,2d Bg artist,Mid,Ottawa,3,Atomic Cartoons,Male,No
1350/week CAD,2D BG Layout Supervisor,Intermediate,Halifax,2+,,Male,no
"$46,800.00 CAD (before taxes)",2D build artist,Junior,Halifax (remotely from toronto),4,,Male,No
62000 CAD,2D Builds Artist,Intermediate,Canada,2 Years,,Female,No
$1200/week,2D Builds Artist,Senior,Burnaby,6,Wildbrain Studios,Female,No
$1100 CAD per week,2D Builds Artist,Senior,"Halifax, NS",8 yrs,,Non Binary,No
$950 CAD/week,2d Builds/Assembly Artist,Senior,"Nova Scotia, Canada",10,,Non Binary,No
3000/INR second ,2D cel animation ,Professional ,"Guwahati, Assam, India ",7,Studio Zeng ,Male,No 
$8000 ARS / day ,"2D Cel Animator, Assistant, Clean Up",Junior,Argentina,1,,Male,
R18000 pm before tax,2D character animator,Senior,Johannesburg SA,9 yrs ,,Female,No
1800 AUD p/w,2D Character Animator,Senior Animator,"Melbourne, Aus",6 years,,Female,
"£2,500 (Per month)",2D character Animator ,Junior/Mid,London ,2,,Male,No
CAD$850/week,2D Character Animator ,Junior,Ottawa,3,Mercury Filmworks,Female,Nope 
$1000/week,2D character builder/rigging,Junior,"Ottawa, ON","1 in this position, many other years in other positions.",Mercury Filmworks,Male,No
$1500 CAD/week,2D Character Designer / Generalist,Senior,Vancouver,8,,Non Binary,
$1000 aud per week,2D Cleanup,Junior,Australia,1,Flying Bark,Non Binary,
"1.2k/month, 1k/month after taxes",2d CleanUp Artist,Junior,Italy,1,,Female,Animator unions don't exist in Italy
1375.00$ Weekly,2D Color Designer,Junior,Vancouver,4,Atomic Cartoons,Female,No
$1000 CAD Week,2D comp + storyboard ,Junior,Vancouver,1,,Female,No
1400 cad/week,2d Comp Lead,Medium,Vancouver,8 years,,Female,No
$26/hour CAD,2D Compositing ,Junior ,Vancouver BC ,2,Bardel entertainment ,Female,No :(
$1450/ wk Canadian,2D Compositor,N/A,Vancouver ,7,Wildbrain,Female,No
$1800 USD / week,2D Compositor,Senior,Los Angeles,10+,,Male,TAG
1250 cad/week,2D Compositor,6 years,Vancouver bc,6 years,Titmouse inc,Male,Yes iatse 
80.000 CA$/year,2D Compositor,Mid,"Montreal, Canada",5,,Female,No
"36,000  yr",2D compositor,senior,Dublin,10,,Female,No
73000.00,2D Compositor,Senior,Vancouver,5,,Male,No
$45/hour (or $1800/week),2D Compositor,Mid,Los Angeles,5,,Female,Animation Guild
"€ 29,000",2D compositor,Junior,Ireland,6 months,Boulder Media,Female,No
68000 CAD,2D Compositor ,Lead,Vancouver,3 years,,Female,nope
40000€ year,2D Compositor ,Senior ,Ireland ,10,,Female,
40K CAD,2D cut out Animator,Junior,"Montreal, Quebec, Canada",1,Caribara,Female,No
"2600000 COP (661,78 USD)",2D cut out animator,Junior,Colombia,3,,Female,No
around 1600 euro par month,2D cut out/paperless animator,medium ,Italy,4 years almost ,,Female,
"83,000 CAD /yr",2D design,Senior,Toronto ,12,,Female,No
"€2,500 per month",2D Design,Mid/Lead,"Dublin, Ireland",5,,Male,No
$1000 CAD per week,2D Designer,Junior,"Vancouver, BC",1,,Female,No
26 000 £/ year,2D Designer,Mid,UK(Not London),over 2 years,,Female,
"€ 35,000",2D designer,Mid level,Dublin ,4,Brown bag films,Female,No
"$64,000 CAD",2D Designer,Intermediate,Toronto,8,,Female,No :(
73000.00,2D Designer,Junior,Toronto,1,,Male,No
65k cad,2D Designer ,Intermediate,Vancouver,3,,Female,No
"37,000 €",2D Designer ,Mid,Dublin,5,Brown Bag ,Other,Hahaha no
18000€ (a year),2D digital and traditional,junior,Cyprus (south),3,,Female,no :(
"50,000 USD",2d fbf animation,senior,Chicago (remote),9,Flying Bark (Freelance),Male,no
"$32,000 USD /year",2D Freelance Animator,Mid level,LA,5,,Female,no
32.00 €,2d freelance animator,Mid,Ireland,5,,Female,No
32.00 €,2d Freelance animator,Mid,Ireland,5,,Female,No
"$42,000 CAD",2D FX,Junior ,"Toronto, ON, Canada",2 yrs,,Non Binary,
"72,000 CAD",2D FX,Mid,Toronto,4,,Male,No
"36,000 EURO Annually",2D FX,Lead, Ireland,3 years ,,Female,No
1200 CAD a week ,2D FX,not defined,"Vancouver, BC Canada",7,,,no
"83,200 CAD",2D FX ,Supervisor,Toronto,7 years,,Female,No.
1700€/month,2d FX animator,Junior,Spain,1,,Male,CNT
36k € per year,2D FX Animator,Senior,Ireland,5,Irish Studio,Female,no
"62,000 CAD/year",2D Fx Animator,Junior,Toronto/Vancouver,2,,Female,No
€28800 per year,2D FX Animator,Mid,Ireland,3+,,Male,No
"€ 3,000",2d fx artist,mid,ireland,3,,Female,
€2600/month (before tax),2D FX artist,Mid,Ireland,3,,Male,
75500 CAD,2D FX Artist,Mid,Ottawa,5,,Female,
"€43,200 Anually",2D FX Supervisor,junior-mid,Ireland,5,,Male,No
"3.400 euros per month, after taxes is 2.800",2D FX Supervisor ,Supervisor ,Kilkenny Ireland ,6 years,Cartoon Saloon ,Female,No
"85,000 CAD",2D Game Animator/ Designer,Junior,"Vancouver, Canada",1 year,,Male,
$3200 SGD gross salary,2D Game Artist,Junior,Singapore,1 year (almost),,Female,No
56000.00,2D Generalist,Mid ,Switzerland,4,Nadasdy ,Male,No
"€ 30,000",2D Generalist,Mid,Spain,10,,Male,No
£100/ day,2D Generalist,Junior,Wales,2,,Male,No
1300 CAD/Week,2D Generalist/Desigber,Junior,Vancouver,4,,Female,No
"39,00 PLN - 93,00 PLN per second",2d Handdrawn animator,Senior,Poland,7,,Male,
80 000 -200 000 rubles per month. rates 4000 to 10000 for second of rough animation,"2d handdrawn animator, character/fx",junior-mid,Russia,3,,Male,
900CAD/week,2D Harmony Animator,Junior,"Ottawa, Canada",2 years,,Male,No
"$55,000 CAD",2D Harmony Animator,Mid,Ottawa,5,Mercury Filmworks,Male,No
€31.500 gross,2D harmony animator,Mid,"Dublin, Ireland",5,Boulder Media,Male,no
$1275 CAD/week,2D Harmony Animator ,Mid,"Toronto, Canada",2.5 yrs,,Female,No
57354 CAD annually,2D harmony animator ,Senior/Lead,"Ottawa, Ontario",6,,Female,No
"€31,000 p/y",2D Harmony Animator ,Mid,Ireland ,4,,Female,
"55K per year $1,150 per week CAD",2D Harmony Animator for TV,Mid level/Intermediate ,Remote freelancing for a studio in Vancouver,5+,Atomic Cartoons,Female,No
900$ CAD /wk,2D Harmony scene setup,N/A,Vancouver,0,Atomic Cartoons,Female,
"45,000$/year CAD",2D Key Animator ,Junior,Vancouver ,2 years,Atomic Cartoons ,Female,No
$67000 CAD,2D Layout,Intermediate,Toronto,5,Brown Bag,Female,Nope
950 CAD/ Week,2D Layout Artist,Junior,"Toronto, Canada",0,,Female,No
42 000 CAD,2D Layout Artist,Junior,Montreal,Less than 1 year,,Female,No
62500 CAD,2D layout artist,Mid,Quebec,6,,Female,No
1300 CAD,2D Layout artist,Intermediate ,Vancouver,2+,,Female,No
21.00,2D Layout Artist,Junior,Vancover,7 months,,Male,No
"£53,000/year",2D Lead Animator,Senior,London,5,,Female,No
"£40,000",2d Lead Animator,Senior,London,7,,Female,
$76000CAD,2D lead animator,Senior,Toronto,6,,Female,No
"26,000 €",2D Lead Animator,Lead,Spain,4,,Male,No
36.000€ per year/3000€ per month (pre taxes),2D Lead Animator,Mid,Ireland,4,Lighthouse Studios,Female,no
1250CAD/week,2D Lead Animator ,Intermediate ,Ottawa ,Senior,Atomic Cartoons,Female,No
2200 before taxes,2D Motion Designer,Junior,Germany,1,,Non Binary,No
£45k,2D Motion Designer,Lead,London,9,,Male,
$800 USD Day Rate,2D Motion Designer,Senior,Brazil,8,Freelance,Male,
65k a year GBP,2D Motion Designer,Lead,"London, UK","11, but part of that as a video editor",,Female,No
$13 an hour (42 nis),2D Motion Designer (design and animation),Junior,"Herzliya, Israel",1,,Female,No
$1200 CAD,2D Poseing Design,Intermediate,Toronto,3,,Female,no
2700$,2D Retakes Director ,Junior -first time director. Senior as a 2D animator,Los Angeles,5 years ,Disney TVA ,Female,"Yes, 839 animation guild "
33000.00,2D Rig,Department Head,United Kingdom,5+,,Male,No
$850 USD / week,2D Rig Animator,Junior,Atlanta,10 months,Bento Box,Female,no
800 euro a week,2D rigged animator,Team Lead,Dublin,3,,Male,
"24,50 hour",2D Rigger,junior,Montreal,,,Female,
"£27,000 per annum",2D Rigger,Mid,London,6 years (2nd year rigging),Blue Zoo,Female,No
"€ 33,600",2D Rigger,Mid,Ireland,8,,Non Binary,No
"62,400 CAD",2D Rigger,Intermediate,Toronto ,4,,Female,Nope. Sadge
78000 AUD per year,2d rigger,Middle,"Australia, Melbourne ",4,,Female,
"€33,600 yr",2D Rigger (Harmony),Mid,Ireland,1,,Male,No
CAD $79200,2D Rigging ,Supervisor,Toronto,3,,Female,No
"57, 000 AUD annual ",2D Rigging Artist,Lead,"Queensland, Australia",3 Years,,Female,
54000 chf,2D rigging supervisor,mid,Switzerland,5,,Female,
2800.00,2D rough Animator,mid level,Ireland,7,,Female,
$27.50 cad an hour ,2D scene set up artist,Mid,Toronto,3,Nelvana (Corus),Female,No :(
2500.00,2d Storyboard,Senior,Glendale,8,Lex & Otis,Male,I.A.T.S.E. Local 839
1400 CAD/weekly,2D Supervisor,Senior,"Ottawa, Canada",10,Jam Filled,Female,No.
"62,400$ CAN year",2d toonboom animator,Senior,Toronto,3,,Female,
"32,000 €",2d toonboom animator,Senior,Ireland,11,Lighthouse Studios,Female,No
24 CAD/hour,2D traditional Animator,junior/mid,Montreal,3,,Female,no
€36400 p/y,2D TV Animator,Mid ,Ireland,3,,Male,No
"$32,000 USD",2D unity animator,Junior,Massachusetts,0,,Female,No
1300 € /month,2D/ cutout Animator,junior,Italy,2,,Male,
770 €,2D/3D Animator,Junior,Portugal,0,,Male,No
770€/month,2D/3D Animator,Junior,Portugal,0,,Male,
1400 CAD/week (+benefits),2D/3D Animator,Senior,Canada,~5 years,,,Female
29.000u$d,"2D/3D Animator, Director",Senior,"Buenos Aires, Argentina",11,Freelance,Male,No
"£33,000",2d/3d game animator and designer,Mid ,"Sunderland, UK",6 years,,Male,
$2350 SGD per month,2D/3D Generalist,Junior,Singapore,1 year+,,Female,what is a union
1700/week,2D/3D Lighitng & Compositing ,Supervisor,Vancouver,9 years,,Non Binary,No
1900.00,2D/Cut out,Mid,FRANCE,7,Lighthouse,Female,
75$us per hour ,3-d animator ,lead,Northern California ,20,Freelancer,Female,no
"£24,000 before tax","3D (Games, Creature) Animator",Junior,South England (not London),"1, post uni",,Female,Bectu
105k,3D Animation,Lead,Montreal,10,ReelFx,Male,no
"$125,000 USD/ year",3D Animation Director,entry,"Los Angeles, CA",7,Nickelodeon,Female,"yes, animation guild"
1500 CAD - weekly ,3D Animation Supervisor,Senior,Vancouver,11,B,Female,No
"$133,000 / year",3D Animation Supervisor,Senior,Los Angeles,10,Disney,Female,no
85800 CAD,3D Animation Supervisor,Supervisor,Toronto,25,,Male,No
60k myr/ year,3D Animator,Mid,Malaysia,3,,Male,
1000 cad ,3D Animator,Junior ,Canada ,0,,Male,No
60 000 GBP per year,3D Animator,Senior,London UK,6,Framestore London,Female,Not really yet no. 
92000 AUD,3D Animator,Senior,Australia,6+,,Female,No
53K Cad/annual,3D Animator,Junior,Vancouver BC,1,,Female,NO
"36,000 €",3D Animator,Senior,Spain,7,,Female,No
"$82,000 CAD",3D Animator,Lead,"Vancouver, BC",5,ICON LOL,Female,no
"68,000yr  Cad",3D animator,Senior,Vancouver,8,,Female,
47000.00,3D animator,Mid,USA ,5,,Male,No
"95,000 CAD",3D Animator,Senior,Toronto Canada,13,,Female,No
Cad $45000.00,3D Animator,Junior ,Toronto,0,Sinking Ship Entertainment ,Male,Nope
93kCAD,3D Animator,mid,Vancouver,5+,Sony Pictures Imageworks,Male,Nope
$55 CAD/hour,3D animator,intermediate ,Vancouver,9 years,DD,Male,no
18000€/year,3D animator,Junior,Spain,2,,,
35000.00,3D animator,Junior,"Quebec city, canada",1st,,Male,No
110k USD,3D Animator,Mid,Remote,44687,Laika,Male,Nope. Get these unions going. 
"$135,000 CAD",3D Animator,Principal,"Ontario, Canada",17,,Male,No
"$76,160 CAD",3D Animator,Senior,Vancouver,5,Wildbrain Studios,Female,No
55.000 CAD,3D Animator,Intermediate,Vancouver,1,,Female,No
65000.00,3D Animator,Mid,Toronto ,6,Cinesite,Male,No
50k/year CAD ,3D animator,junior,Vancouver,0,,Male,No
AUD 54k annually,3D Animator,Junior,Adelaide,2,,Female,
$77k CAD Annually,3D Animator,Mid,Montreal,4,,Female,No
102k CAD/yr,3D Animator,Senior,Vancouver ,10,SPI,Male,No
90000.00,3D Animator,Lead,Vancouvee,3,Icon creative studios,Male,No
CAD $120K,3D animator,Lead,Vancouver,10,,Male,
"41,200 €",3D Animator,Mid,Montpellier,5,Fortiche,Male,no
"50,000 USD",3D Animator,Mid,"Los Angeles, but working remote for a company in Texas",1,,Male,No
"$70,980 CAD",3D Animator,Senior,"Toronto, ON",10+ years,,Female,Haha nope
"60,000 AUD",3D animator,Mid,"Brisbane, Australia",3,,Male,No
50K CAD/year,3D Animator,Intermediate ,Vancouver,Almost a year,ICON creative studio ,Female,No
